ID,wav,wav_format,duration,language
13,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_100\common_voice_ar_19749071.wav,.wav,3.576,Arabic
14,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_101\common_voice_ar_19785100.wav,.wav,4.776,Arabic
15,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_101\common_voice_ar_19785102.wav,.wav,3.84,Arabic
16,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_101\common_voice_ar_19785103.wav,.wav,2.904,Arabic
17,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_102\common_voice_ar_19963352.wav,.wav,4.704,Arabic
18,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_102\common_voice_ar_19963353.wav,.wav,5.376,Arabic
19,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_102\common_voice_ar_19963354.wav,.wav,5.184,Arabic
20,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_102\common_voice_ar_19963355.wav,.wav,5.136,Arabic
21,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_103\common_voice_ar_19436622.wav,.wav,4.416,Arabic
22,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_103\common_voice_ar_19436624.wav,.wav,2.976,Arabic
23,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_103\common_voice_ar_19436625.wav,.wav,2.664,Arabic
24,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_105\common_voice_ar_19964896.wav,.wav,4.896,Arabic
25,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_105\common_voice_ar_19964898.wav,.wav,3.576,Arabic
26,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_105\common_voice_ar_19964899.wav,.wav,3.456,Arabic
27,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_106\common_voice_ar_20565344.wav,.wav,5.064,Arabic
28,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_106\common_voice_ar_20565346.wav,.wav,4.416,Arabic
29,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_106\common_voice_ar_20565347.wav,.wav,5.376,Arabic
30,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_106\common_voice_ar_20565350.wav,.wav,2.544,Arabic
31,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_107\common_voice_ar_19103182.wav,.wav,3.984,Arabic
32,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_107\common_voice_ar_19103183.wav,.wav,3.504,Arabic
33,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_107\common_voice_ar_19103184.wav,.wav,3.744,Arabic
34,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_107\common_voice_ar_19103186.wav,.wav,4.704,Arabic
35,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_108\common_voice_ar_19212440.wav,.wav,5.184,Arabic
36,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_108\common_voice_ar_19212442.wav,.wav,2.544,Arabic
37,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_108\common_voice_ar_19212443.wav,.wav,1.944,Arabic
38,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_108\common_voice_ar_19212444.wav,.wav,2.664,Arabic
39,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_109\common_voice_ar_19476979.wav,.wav,5.496,Arabic
40,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_109\common_voice_ar_19476981.wav,.wav,2.496,Arabic
41,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_109\common_voice_ar_19476982.wav,.wav,4.896,Arabic
42,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19216539.wav,.wav,2.4,Arabic
43,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19217026.wav,.wav,3.192,Arabic
44,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19217565.wav,.wav,2.376,Arabic
45,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19217728.wav,.wav,3.024,Arabic
46,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19217988.wav,.wav,2.616,Arabic
47,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_11\common_voice_ar_19218207.wav,.wav,4.944,Arabic
48,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_110\common_voice_ar_19222349.wav,.wav,3.288,Arabic
49,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_110\common_voice_ar_19222357.wav,.wav,4.896,Arabic
50,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_110\common_voice_ar_19222360.wav,.wav,4.728,Arabic
51,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_110\common_voice_ar_19222361.wav,.wav,3.312,Arabic
52,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285859.wav,.wav,3.216,Arabic
53,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285860.wav,.wav,3.216,Arabic
54,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285862.wav,.wav,3.936,Arabic
55,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_111\common_voice_ar_19285863.wav,.wav,6.816,Arabic
56,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_112\common_voice_ar_21023280.wav,.wav,3.576,Arabic
57,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_112\common_voice_ar_21023291.wav,.wav,3.384,Arabic
58,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_112\common_voice_ar_21023298.wav,.wav,3.384,Arabic
59,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_113\common_voice_ar_19738679.wav,.wav,4.152,Arabic
60,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_113\common_voice_ar_19738680.wav,.wav,3.336,Arabic
61,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_113\common_voice_ar_19738682.wav,.wav,3.552,Arabic
62,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_113\common_voice_ar_19738685.wav,.wav,2.784,Arabic
63,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_113\common_voice_ar_19738686.wav,.wav,3.096,Arabic
64,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_114\common_voice_ar_19260123.wav,.wav,4.656,Arabic
65,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_114\common_voice_ar_19260124.wav,.wav,5.016,Arabic
66,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_114\common_voice_ar_19260125.wav,.wav,6.384,Arabic
67,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_115\common_voice_ar_19842245.wav,.wav,5.424,Arabic
68,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_115\common_voice_ar_19842247.wav,.wav,3.024,Arabic
69,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_115\common_voice_ar_19842249.wav,.wav,3.384,Arabic
70,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_115\common_voice_ar_19842250.wav,.wav,5.424,Arabic
71,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_116\common_voice_ar_19370414.wav,.wav,3.024,Arabic
72,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_116\common_voice_ar_19370415.wav,.wav,2.544,Arabic
73,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_116\common_voice_ar_19370416.wav,.wav,3.336,Arabic
74,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_116\common_voice_ar_19370417.wav,.wav,3.936,Arabic
75,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_116\common_voice_ar_19370418.wav,.wav,3.624,Arabic
76,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_117\common_voice_ar_19962448.wav,.wav,6.192,Arabic
77,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_117\common_voice_ar_19962449.wav,.wav,8.184,Arabic
78,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_117\common_voice_ar_19962450.wav,.wav,8.328,Arabic
79,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_118\common_voice_ar_19205717.wav,.wav,3.504,Arabic
80,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_118\common_voice_ar_19205718.wav,.wav,4.464,Arabic
81,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_118\common_voice_ar_19205719.wav,.wav,3.384,Arabic
82,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_118\common_voice_ar_19205720.wav,.wav,3.432,Arabic
83,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_119\common_voice_ar_19706859.wav,.wav,3.72,Arabic
84,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_119\common_voice_ar_19706860.wav,.wav,3.36,Arabic
85,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_119\common_voice_ar_19706862.wav,.wav,2.352,Arabic
86,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_119\common_voice_ar_19706865.wav,.wav,5.688,Arabic
87,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_119\common_voice_ar_19706866.wav,.wav,2.808,Arabic
88,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20295876.wav,.wav,5.184,Arabic
89,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20326995.wav,.wav,2.496,Arabic
90,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20374881.wav,.wav,3.024,Arabic
91,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20401372.wav,.wav,3.096,Arabic
92,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_12\common_voice_ar_20401387.wav,.wav,5.616,Arabic
93,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_121\common_voice_ar_19205260.wav,.wav,4.104,Arabic
94,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_121\common_voice_ar_19205261.wav,.wav,4.536,Arabic
95,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_121\common_voice_ar_19205262.wav,.wav,4.104,Arabic
96,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_121\common_voice_ar_19205263.wav,.wav,5.184,Arabic
97,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204110.wav,.wav,2.544,Arabic
98,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204111.wav,.wav,3.744,Arabic
99,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204112.wav,.wav,3.336,Arabic
100,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204113.wav,.wav,4.824,Arabic
101,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_122\common_voice_ar_19204114.wav,.wav,4.104,Arabic
102,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_123\common_voice_ar_19330410.wav,.wav,2.784,Arabic
103,C:\Users\jaeyo\OneDrive\바탕 화면\_Personal\개인공부\_OpenAI API를 활용한 AI 튜터 영어 앱 개발\_MT_upload\fc-asr\common_voice_kpd\Arabic\train\ara_trn_sp_123\common_voice_ar_19330411.wav,.wav,4.104,Arabic
